Country,Year,HPI,Inflation_Rate,GDP,GDP_Growth_Rate,Total_Refugees,Total_Asylum,Population,HPI_Growth,Rugees_Growth,Refugees_per_1000
Cyprus,2022,107.13,8.39548297993334,30976176886.85206,7.3656225242867635,29280,36497,1331370,2.6837918144349633,79.88572832831603,21.992383785123597
Cyprus,2023,110.27,3.54134188751663,33886930712.33943,2.611900909147451,39044,31664,1344976,2.931018388873332,33.34699453551912,29.029514281295725
Latvia,2010,80.35,-1.08463595015162,23468324572.33428,-3.6612590805494,60,43,2097555,-27.133399836764312,-99.84632722057167,0.02860473265301744
Latvia,2011,88.73,4.3707355993922,26575547900.824738,3.036345903397759,88,216,2059709,10.429371499688873,46.666666666666664,0.042724481953518675
Latvia,2012,91.36,2.25778924374595,27116149948.668335,7.305240455277541,113,171,2034319,2.9640482362222422,28.40909090909091,0.05554684393155646
Latvia,2013,97.62,-0.0294547782579216,29152128167.84381,2.096091140878812,149,183,2012647,6.852014010507887,31.858407079646017,0.0740318595362227
Latvia,2014,103.48,0.620490636732421,30277203767.405777,2.094959595862676,168,235,1993782,6.002868264699856,12.751677852348994,0.08426197046617935
Latvia,2015,100,0.174242243625186,26344565876.89022,3.783365289578129,193,182,1977527,-3.362968689601859,14.880952380952381,0.09759664469815077
Latvia,2016,108.49,0.140633334505327,27117105059.507458,2.551685853547013,340,151,1959537,8.489999999999995,76.16580310880829,0.17351037515494733
Latvia,2017,118.01,2.93036312374665,29391059767.425938,3.398949377790089,653,54,1942248,8.775002304359859,92.05882352941175,0.3362083523834238
Latvia,2018,129.3,2.53445424186598,33247935477.357624,4.30971088766286,664,45,1927174,9.566985848656898,1.6845329249617151,0.3445459517407354
Latvia,2019,140.88,2.81140920075615,33099503950.847004,0.6753752568120746,665,41,1913822,8.955916473317853,0.15060240963855423,0.347472230959828
Latvia,2020,145.77,0.219064904842156,33379927434.61488,-3.469229153396185,637,73,1900449,3.471039182282804,-4.2105263157894735,0.3351839486352962
Latvia,2021,161.65,3.27582937431156,38185125732.94512,6.94723316214511,705,209,1884490,10.89387391095561,10.675039246467819,0.3741065221890273
Latvia,2022,184.01,17.3102830198815,38018905782.39703,1.8126824022840964,39055,249,1879383,13.832353850912455,5439.7163120567375,20.78075623755243
Latvia,2023,190.89,8.93804623316637,42247850064.51251,1.7067952496992405,45761,552,1877445,3.7389272322156377,17.17065676609909,24.374082862613818
Lithuania,2010,84.2,1.31921362055463,36638128534.06432,0.427199033691366,808,67,3097282,-55.890827177955885,-98.23430432027273,0.26087388878377876
Lithuania,2011,89.77,4.13027562645085,43186501862.790695,6.323637398040518,824,73,3028115,6.615201900237522,1.9801980198019802,0.27211648170561553
Lithuania,2012,89.56,3.08998277055417,42709372066.862656,4.382905596208559,871,70,2987773,-0.2339311574022432,5.703883495145631,0.2915214777026233
Lithuania,2013,90.65,1.04747937065344,46303660422.043365,4.046914350913113,918,74,2957689,1.2170611880303746,5.39609644087256,0.31037746024007257
Lithuania,2014,96.47,0.103758009433708,48306546656.92814,3.7725413149966727,1007,139,2932367,6.420297848869269,9.694989106753813,0.3434085842597465
Lithuania,2015,100,-0.884097405500596,41540954817.20389,2.8328085774110434,1094,75,2904910,3.6591686534674004,8.639523336643496,0.3766037502022438
Lithuania,2016,105.4,0.905525075460342,42970749245.03357,2.67192019895775,1284,147,2868231,5.400000000000006,17.36745886654479,0.44766268825628064
Lithuania,2017,114.8,3.72288862303707,47756764508.44596,4.612243146007785,1577,249,2828403,8.918406072106254,22.819314641744548,0.5575584525967481
Lithuania,2018,123.18,2.69792779208394,54261795148.537216,4.9183697945524045,1731,273,2801543,7.2996515679442595,9.765377298668358,0.617873793120434
